LANGUAGE,ENGLISH - CHARACTER,ENGLISH - LINE,PORTUGUESE - BRAZIL - CHARACTER,PORTUGUESE - BRAZIL - LINE
Text73,Haruna,"What do you mean, Sayumi?",Haruna,"O que você quer dizer, Sayumi?"
Text74,Sayumi,"This girl is not just any person, her name is Ikuta Sakura.",Sayumi,"Essa garota não é uma pessoa qualquer, o nome dela é Ikuta Sakura."
Text75,Sayumi,"She is the daughter of one of the biggest businessmen in the country, especially after World War II.",Sayumi,"Ela é a filha de um dos maiores empresários do país, principalmente depois da Segunda Guerra Mundial."
Text76,Haruna,"This is strange, a girl with so much money coming here… Did Kotaro already explain to her what is this place?",Haruna,"Que estranho, uma garota com tanto dinheiro vindo parar aqui… Será que o Kotaro já explicou para ela o que fazemos?"
Text77,Sayumi,I don't think so. But let's hear some more.,Sayumi,Acho que não. Mas vamos ouvir mais um pouco.
Text78,Sayumi,"We have to be careful, if this girl ran away, I guarantee that several people are after her right now and that can cause us problems.",Sayumi,"Temos que tomar cuidado, se essa garota fugiu garanto que várias pessoas estão atrás dela nesse momento e isso pode nos gerar problemas."
Text79,Sakura,"Kotaro, I need to ask you big favor... I don't want anyone to find me.",Sakura,"Kotaro, preciso te pedir mais um favor… Eu não quero que ninguém me encontre."
Text80,Sakura,"Please, don't tell Sayumi and Haruna what I told you for now… I'll talk to them when I'm ready.",Sakura,"Por favor, não fale para a Sayumi e Haruna o que falei para você por enquanto… Irei falar com elas, quando estiver pronta."
Text81,Kotaro,Right. We need a name for you in the meantime...,Kotaro,Certo. Precisamos de um nome para você enquanto isso…
Text82,Sakura,How about Ayumi? Ayumi is a beautiful name!,Sakura,Que tal Ayumi? Ayumi é um nome bonito!
Text83,,"Sakura starts to smile, like she's just relaxing and having fun, even with a very serious subject.",,"Sakura começa a sorrir, como se estivesse apenas relaxando e se divertindo, mesmo com um assunto muito sério."
Text84,Kotaro,"Agreed, let's call you Ayumi.",Kotaro,"Combinado, vamos chamar você de Ayumi."
Text85,,"Meanwhile, Sayumi and Haruna enter the room to talk to them.",,"Enquanto isso, Sayumi e Haruna entram no quarto para conversar com eles."
Text86,Haruna,Kotaru-kun!,Haruna,Kotaru-kun!
Text87,Sayumi,You look better now. Did you sleep well?,Sayumi,"Pelo visto, você parece melhor agora. Conseguiu dormir bem?"
Text88,Ayumi,"Yes, I'm much better now Sayumi-chan! Thanks for asking!",Ayumi,"Sim, estou bem melhor agora Sayumi-chan! Obrigado por perguntar!"
Text89,Sayumi,"What's your name?",Sayumi,Qual seu nome?
Text90,Haruna,"That's right, you haven't said your name yet!",Haruna,"É mesmo, você não disse ainda seu nome!"
Text91,Ayumi,So...,Ayumi,Então…
Text92,Kotaro,Her name is Ayumi. Right?,Kotaro,O nome dela é Ayumi. Certo?
Text93,Ayumi,"Yes, my name is Ayumi.",Ayumi,"Sim, meu nome é Ayumi."
Text94,Sayumi,"Nice to meet you, Ayumi-chan. I am sorry to be straight with you, we keep no secrets here. I hope you understand.",Sayumi,"Prazer, Ayumi-chan. Desculpe ser tão direta, mas precisamos saber de tudo sobre você, não guardamos segredos aqui. Espero que entenda."
Text95,Haruna,"By the way… Kotaro-kun, did you talk to Ayumi-chan about what we do here?",Haruna,"Por sinal… Kotaro-kun, você conversou com a Ayumi-chan sobre o que fazemos aqui?"
Text96,Ayumi,What do you mean? Isn't this a clock fixing shop?,Ayumi,"Como assim, o que fazemos aqui? Não é uma loja para ajustar relógios?"
Text97,Kotaro,"The store is just a facade… Ayumi, the truth is that this is a brothel.",Kotaro,"A loja é apenas uma fachada… Ayumi, a verdade é que aqui é um bordel."
Text98,Kotaro,"We work in the morning and afternoon like a normal shop, but that doesn't make enough money for us all to survive.",Kotaro,"Trabalhamos na parte de manhã e tarde como uma loja normal, mas isso não dá o dinheiro suficiente para todos nós sobrevivermos."
Text99,Sayumi,"Are you sure you still want to be here, even though you know it?!",Sayumi,"Você tem certeza que ainda quer estar aqui, mesmo sabendo disso?!"
Text100,Ayumi,So it means that…,Ayumi,Então quer dizer que…
Text101,Haruna,That's exactly what you're thinking… Me and Sayumi are prostitute and Kotaro is responsible for running the place.,Haruna,É exatamente o que você está pensando… Eu e Sayumi somos prostitutas e Kotaro é responsável por administrar o local.
Text102,Sayumi,You didn't answer my question…,Sayumi,Você não respondeu a minha pergunta…
Text103,,"Ayumi stands thoughtfully for a while, looking like several thoughts were in her mind at the same time.",,"Ayumi fica parada pensativa por um tempo, parecendo que diversos pensamentos estavam em sua mente ao mesmo tempo."
Text104,Ayumi,What I need to do?,Ayumi,O que eu preciso fazer?
Text105,,Everyone is surprised by the answer.,,Todos ficam surpresos com a resposta.
Text106,Sayumi,What?!,Sayumi,Como assim?!
Text107,Haruna,You mean that...,Haruna,Quer dizer que…
Text108,Ayumi,"Yes, I'll stay with you. Maybe I can help with somethings!",Ayumi,"É, vou ficar com vocês. Talvez possa ajudar em algumas coisas do local!"
Text109,,"Everyone starts to smile and try to understand a little of what is going on in her head, but only time will tell.",,"Todos começam a sorrir e tentar entender um pouco do que se passa na cabeça dela, mas só o tempo dirá."
Text110,Kotaro,Well.... Welcome!,Kotaro,"Bom, acho que bem-vinda."
Text111,,Everyone continues to chat happily with the new company.,,Todos continuam conversando felizes com a nova companhia.
Text112,,After a while everyone will go to their rooms to rest that tomorrow will be a new day.,,Depois de um tempo todos vão parar seus quartos descansar que amanhã será um novo dia.
Text113,,,,
Text114,,,,
Text115,,,,
Text116,,,,
Text117,,,,
Text118,,,,
Text119,,,,
Text120,,,,
Text121,,,,
Text122,,,,
Text123,,,,
Text124,,,,
Text125,,,,
Text126,,,,
Text127,,,,
Text128,,,,
Text129,,,,
Text130,,,,
Text131,,,,
Text132,,,,
Text133,,,,
Text134,,,,
Text135,,,,
Text136,,,,
Text137,,,,
Text138,,,,
Text139,,,,
Text140,,,,
Text141,,,,
Text142,,,,
Text143,,,,
Text144,,,,
Text145,,,,
Text146,,,,
Text147,,,,
Text148,,,,
Text149,,,,
